Player,Team,Age,Games Played,Tgt,Rec,ReceivingYDs,Y/R,ReceivingTD,FL
Sean Culkin,LAC,26,4,2,1,12,12.0,0,0
Chris Herndon,NYJ,23,1,2,1,7,7.0,0,0
Charles Jones,JAX,23,4,1,1,5,5.0,0,0
Ben Koyack,JAX,26,11,3,1,9,9.0,0,0
Chris Manhertz,CAR,27,15,1,1,11,11.0,0,0
Isaac Nauta,DET,22,6,3,2,13,6.5,0,0
Dalton Schultz,DAL,23,16,2,1,6,6.0,0,0
Scott Simonson,NYG,27,5,2,2,11,5.5,0,0
Tyrone Swoopes,SEA,25,5,1,1,5,5.0,0,0
Jordan Thomas,HOU,23,5,3,1,8,8.0,0,0
Levine Toilolo,SFO,28,13,2,2,10,5.0,0,0
Darrell Daniels,ARI,25,11,3,1,4,4.0,0,0
Zach Gentry,PIT,23,4,1,1,4,4.0,0,0
Xavier Grimble,PIT,27,3,3,1,3,3.0,0,0
Eric Tomlinson,3TM,27,8,1,1,1,1.0,0,0
