Player,Team,Age,Games Played,RushingAtt,RushingYDs,Y/A,RushingTD,Tgt,Rec,ReceivingYDs,Y/R,ReceivingTD,FL,FantasyPoints,FantasyPoints/GM,Usage/GM,RushingAtt/Gm,TD/Usage
Keith Smith,ATL,27,16,5,8,1.6,0,4,1,13,13.0,0,0,3.1,0.19,0.56,0.3125,0.0
Zach Zenner,3TM,28,5,3,-2,-0.67,0,3,2,19,9.5,0,0,3.7,0.74,1.2,0.6,0.0
Josh Adams,NYJ,23,3,8,12,1.5,0,0,0,0,,0,0,1.2000000000000002,0.4,2.67,2.6666666666666665,0.0
Tony Brooks-James,PIT,25,3,8,7,0.88,0,0,0,0,,0,0,0.7000000000000001,0.23,2.67,2.6666666666666665,0.0
Josh Ferguson,WAS,26,2,3,9,3.0,0,0,0,0,,0,0,0.9,0.45,1.5,1.5,0.0
Damien Harris,NWE,22,2,4,12,3.0,0,0,0,0,,0,0,1.2000000000000002,0.6,2.0,2.0,0.0
Buddy Howell,HOU,23,16,5,10,2.0,0,0,0,0,,0,0,1.0,0.06,0.31,0.3125,0.0
Jakob Johnson,NWE,25,4,0,0,,0,2,1,5,5.0,0,0,1.5,0.38,0.5,0.0,0.0
John Kelly,LAR,23,4,3,9,3.0,0,0,0,0,,0,0,0.9,0.23,0.75,0.75,0.0
Ryan Nall,CHI,24,8,2,8,4.0,0,0,0,0,,0,0,0.8,0.1,0.25,0.25,0.0
Ricky Ortiz,NOR,25,1,0,0,,0,1,1,8,8.0,0,0,1.8,1.8,1.0,0.0,0.0
Jordan Scarlett,CAR,23,9,4,9,2.25,0,0,0,0,,0,0,0.9,0.1,0.44,0.4444444444444444,0.0
De'Lance Turner,MIA,24,8,4,6,1.5,0,0,0,0,,0,0,0.6000000000000001,0.08,0.5,0.5,0.0
Dexter Williams,GNB,22,4,5,11,2.2,0,0,0,0,,0,0,1.1,0.28,1.25,1.25,0.0
James Develin,NWE,31,2,2,3,1.5,0,0,0,0,,0,0,0.30000000000000004,0.15,1.0,1.0,0.0
Alfred Morris,ARI,31,1,1,4,4.0,0,0,0,0,,0,0,0.4,0.4,1.0,1.0,0.0
Roosevelt Nix,PIT,27,3,0,0,,0,3,2,4,2.0,0,0,2.4,0.8,1.0,0.0,0.0
Senorise Perry,BUF,28,11,3,3,1.0,0,1,1,1,1.0,0,0,1.4000000000000001,0.13,0.36,0.2727272727272727,0.0
